"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"Outros";"502604751 - Nos Comunicações S A";"FT 202590/2956562 / JJBHKNJK-2956562";"Fatura";"2025-10-02";"47,48 €";"8,88 €";"38,60 €";"Registado";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202590/3255690 / JJBHKNJK-3255690";"Fatura";"2025-11-04";"46,99 €";"8,79 €";"38,20 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FT 20250022801/013115 / JJX3X452-013115";"Fatura";"2025-07-06";"46,45 €";"8,69 €";"37,76 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680032302212339/089187 / JFGG77HT-089187";"Fatura simplificada";"2025-10-17";"87,46 €";"8,19 €";"79,27 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 07070032309211006/201672 / JFDKG9VP-201672";"Fatura simplificada";"2025-12-26";"55,11 €";"7,96 €";"47,15 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/077778 / JJK739TP-077778";"Fatura simplificada";"2025-11-23";"50,80 €";"7,67 €";"43,13 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/306135 / JFVD3FPF-306135";"Fatura simplificada";"2025-10-08";"46,58 €";"7,66 €";"38,92 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/354652 / JJVN9M2W-354652";"Fatura simplificada";"2025-12-04";"40,00 €";"7,48 €";"32,52 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/347169 / JJVN9M2W-347169";"Fatura simplificada";"2025-11-23";"40,00 €";"7,48 €";"32,52 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/343805 / JJVN9M2W-343805";"Fatura simplificada";"2025-11-17";"40,00 €";"7,48 €";"32,52 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/335858 / JJVN9M2W-335858";"Fatura simplificada";"2025-11-05";"40,00 €";"7,48 €";"32,52 €";"Pendente";"X";""
"";"516731564 - Petroseteais - Postos de Abastecimento e Lojas de Conveniencia Lda";"FS 263762001/280183 / JJVN9M2W-280183";"Fatura simplificada";"2025-08-10";"40,00 €";"7,48 €";"32,52 €";"Pendente";"X";""
"";"505416654 - Ikea Portugal Moveis e Decoração Lda";"FAC 3670212025/0003479 / JJPPV5HD-0003479";"Fatura";"2025-05-29";"39,99 €";"7,48 €";"32,51 €";"Pendente";"X";""
"";"505416654 - Ikea Portugal Moveis e Decoração Lda";"DEV 3670362025/0006548 / JJP3VF7R-0006548";"Nota de crédito";"2025-05-29";"39,99 €";"7,48 €";"32,51 €";"Pendente";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202516/2426485 / JJBTKZHZ-2426485";"Fatura";"2025-09-01";"39,91 €";"7,47 €";"32,44 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680062212212020/421341 / JFVN3FWD-421341";"Fatura simplificada";"2025-12-29";"49,89 €";"7,45 €";"42,44 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 07070612507031439/012434 / JJ8D48RK-012434";"Fatura simplificada";"2025-12-31";"42,68 €";"7,20 €";"35,48 €";"Pendente";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202530/18784 / JJBFKTTD-18784";"Fatura";"2025-08-08";"37,69 €";"7,05 €";"30,64 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/083092 / JJK83B4X-083092";"Fatura simplificada";"2025-10-05";"44,32 €";"6,99 €";"37,33 €";"Pendente";"X";""
"Outros";"502604751 - Nos Comunicações S A";"FT 202516/1832428 / JJBTKZHZ-1832428";"Fatura";"2025-07-01";"37,20 €";"6,94 €";"30,26 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/101604 / JF87BNT6-101604";"Fatura simplificada";"2025-09-20";"42,27 €";"6,87 €";"35,40 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/087476 / JJK83B4X-087476";"Fatura simplificada";"2025-10-25";"42,65 €";"6,58 €";"36,07 €";"Pendente";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FS 20250026302/060269 / JJXVM2RM-060269";"Fatura simplificada";"2025-12-26";"35,05 €";"6,55 €";"28,50 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/291426 / JFVD3FPF-291426";"Fatura simplificada";"2025-08-19";"40,60 €";"6,52 €";"34,08 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/092258 / JJK83B4X-092258";"Fatura simplificada";"2025-11-16";"47,17 €";"6,44 €";"40,73 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/093436 / JJK83B4X-093436";"Fatura simplificada";"2025-11-21";"33,98 €";"6,35 €";"27,63 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680922407240849/059864 / JJK739TP-059864";"Fatura simplificada";"2025-08-10";"38,49 €";"5,75 €";"32,74 €";"Pendente";"X";""
"Outros";"517845687 - Alchemy Explorers - Combustiveis Lda";"FT 022010016088FAAA00000111612025/000005303 / JJB899ZS-000005303";"Fatura-recibo";"2025-06-18";"30,00 €";"5,61 €";"24,39 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/297241 / JFVD3FPF-297241";"Fatura simplificada";"2025-09-08";"47,65 €";"5,49 €";"42,16 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680032302212339/094584 / JFGG77HT-094584";"Fatura simplificada";"2025-12-06";"66,31 €";"5,37 €";"60,94 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/326908 / JFVD3FPF-326908";"Fatura simplificada";"2025-12-20";"53,18 €";"5,23 €";"47,95 €";"Pendente";"X";""
