"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/333797 / JFVP3FR9-333797";"Fatura simplificada";"2025-10-30";"2,83 €";"0,33 €";"2,50 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/309658 / JFVP3FR9-309658";"Fatura simplificada";"2025-08-09";"2,87 €";"0,33 €";"2,54 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/299691 / JFVP3FR9-299691";"Fatura simplificada";"2025-07-08";"2,89 €";"0,33 €";"2,56 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/299464 / JFVP3FR9-299464";"Fatura simplificada";"2025-07-07";"2,89 €";"0,33 €";"2,56 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/298325 / JFVP3FR9-298325";"Fatura simplificada";"2025-07-04";"2,89 €";"0,33 €";"2,56 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/289530 / JFVP3FR9-289530";"Fatura simplificada";"2025-06-06";"2,87 €";"0,33 €";"2,54 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/299359 / JFVP3FR9-299359";"Fatura simplificada";"2025-07-07";"2,78 €";"0,32 €";"2,46 €";"Pendente";"X";""
"Saúde";"514328916 - Farmacias Tm, Lda";"FR U100/61600 / JJVDWFR8-61600";"Fatura-recibo";"2025-06-02";"5,49 €";"0,31 €";"5,18 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/310574 / JFVP3FR9-310574";"Fatura simplificada";"2025-08-12";"2,57 €";"0,30 €";"2,27 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/343806 / JFVP3FR9-343806";"Fatura simplificada";"2025-12-02";"2,53 €";"0,29 €";"2,24 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/327371 / JFVP3FR9-327371";"Fatura simplificada";"2025-10-08";"2,53 €";"0,29 €";"2,24 €";"Pendente";"X";""
"Saúde";"503249785 - Gesfar Farmaceutica - Produtos Farmaceuticos Unipessoal Lda";"FR U003/290818 / JFZRPZPG-290818";"Fatura-recibo";"2025-07-13";"4,72 €";"0,27 €";"4,45 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/286249 / JFVP3FR9-286249";"Fatura simplificada";"2025-05-27";"2,28 €";"0,26 €";"2,02 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/333576 / JFVP3FR9-333576";"Fatura simplificada";"2025-10-29";"2,08 €";"0,24 €";"1,84 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680602306180719/057925 / JFYBNCSS-057925";"Fatura simplificada";"2025-09-17";"2,08 €";"0,24 €";"1,84 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680932311091414/083493 / JF87BNT6-083493";"Fatura simplificada";"2025-06-07";"4,16 €";"0,24 €";"3,92 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/342583 / JFVP3FR9-342583";"Fatura simplificada";"2025-11-28";"2,04 €";"0,23 €";"1,81 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/339835 / JFVP3FR9-339835";"Fatura simplificada";"2025-11-19";"1,98 €";"0,23 €";"1,75 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/331394 / JFVP3FR9-331394";"Fatura simplificada";"2025-10-21";"1,58 €";"0,18 €";"1,40 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/321015 / JFVP3FR9-321015";"Fatura simplificada";"2025-09-16";"1,59 €";"0,18 €";"1,41 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680902407240956/056324 / JJK83B4X-056324";"Fatura simplificada";"2025-06-03";"3,24 €";"0,18 €";"3,06 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.1663/705292 / JFVXXFN3-705292";"Fatura simplificada";"2025-07-16";"3,00 €";"0,17 €";"2,83 €";"Pendente";"X";""
"";"500498601 - Cp - Comboios de Portugal, Epe";"FS FS.5504/16862 / JJKJ67K5-16862";"Fatura simplificada";"2025-06-17";"3,00 €";"0,17 €";"2,83 €";"Pendente";"X";""
"";"503630330 - Worten - Equipamentos Para o Lar S A";"FS CDT002/416555 / JF554YNC-416555";"Fatura simplificada";"2025-08-08";"0,74 €";"0,14 €";"0,60 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 07070612507031439/012435 / JJ8D48RK-012435";"Fatura simplificada";"2025-12-31";"1,39 €";"0,08 €";"1,31 €";"Pendente";"X";""
"Outros";"500201307 - Nestlé Portugal, Unipessoal, Lda";"FT 901/38642486 / JF3MH634-38642486";"Fatura";"2025-07-26";"0,40 €";"0,07 €";"0,33 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F1 F42C/4206938457 / JJ3BCFP4-4206938457";"Fatura";"2025-12-27";"0,17 €";"0,00 €";"0,17 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4310816796 / JJ3TCJF7-4310816796";"Fatura";"2025-12-01";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F1 F42C/4206302857 / JJ3BCFP4-4206302857";"Fatura";"2025-11-27";"0,17 €";"0,00 €";"0,17 €";"Registado";"X";""
"Outros";"500731993 - Dhl Express Portugal Lda";"FT V/375100 / JFM3X7NT-375100";"Fatura";"2025-11-27";"73,80 €";"0,00 €";"73,80 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4309771083 / JJ3TCJF7-4309771083";"Fatura";"2025-11-01";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4308783664 / JJ3TCJF7-4308783664";"Fatura";"2025-10-01";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680552212212020/324127 / JFVP3FR9-324127";"Fatura simplificada";"2025-09-27";"0,00 €";"0,00 €";"0,00 €";"Pendente";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4307880956 / JJ3TCJF7-4307880956";"Fatura";"2025-09-01";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4306825385 / JJ3TCJF7-4306825385";"Fatura";"2025-08-01";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"";"501882766 - Widex - Reabilitação Auditiva, Unipessoal Lda";"FS 44125/001733 / JJ4BNWWD-001733";"Fatura simplificada";"2025-07-16";"0,00 €";"0,00 €";"0,00 €";"Pendente";"X";""
"";"500839166 - Ordem dos Engenheiros";"FR 2025RS/30753 / JJWHKNG8-30753";"Fatura-recibo";"2025-07-15";"287,50 €";"0,00 €";"287,50 €";"Pendente";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4305830003 / JJ3TCJF7-4305830003";"Fatura";"2025-07-01";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"Outros";"513204016 - Novo Banco S A";"F2 F43C/4305011474 / JJ3TCJF7-4305011474";"Fatura";"2025-06-05";"8,22 €";"0,00 €";"7,90 €";"Registado";"X";""
"Outros";"502604751 - Nos Comunicações S A";"ZFZG B1M2/0047290552 / JF23XJ9Y-0047290552";"Fatura";"2025-06-02";"0,00 €";"0,00 €";"0,00 €";"Registado";"X";""
